data,Region,region.en,total.positive,new.positives,total.cases,population,population.per.mil,total.pos.per.mil,total.cas.per.mil
2020-04-25T17:00:00,Campania,Campania,2935,17,4299,5801692,5.801692,505.8869033,740.9907317
2020-04-25T17:00:00,Emilia-Romagna,Emilia-Romagna,12347,239,24209,4459477,4.459477,2768.710322,5428.663496
2020-04-25T17:00:00,Friuli Venezia Giulia,Friuli-Venezia Giulia,1084,21,2903,1215220,1.21522,892.019552,2388.867859
2020-04-25T17:00:00,Lazio,Lazio,4561,92,6224,5879082,5.879082,775.8013921,1058.668683
2020-04-25T17:00:00,Liguria,Liguria,3433,128,7301,1550640,1.55064,2213.924573,4708.378476
2020-04-25T17:00:00,Lombardia,Lombardy,34473,713,71969,10060574,10.060574,3426.544052,7153.567977
2020-04-25T17:00:00,Marche,Marche,3272,30,6058,1525271,1.525271,2145.192559,3971.753216
2020-04-25T17:00:00,Molise,Molise,198,5,292,305617,0.305617,647.8697193,955.4442325
2020-04-25T17:00:00,Piemonte,Piedmont,15502,604,24426,4356406,4.356406,3558.43785,5606.915425
2020-04-25T17:00:00,Puglia,Apulia,2919,31,3912,4029053,4.029053,724.4878635,970.9477637
2020-04-25T17:00:00,Sardegna,Sardinia,794,14,1271,1639591,1.639591,484.267113,775.1933257
2020-04-25T17:00:00,Sicilia,Sicily,2272,39,3020,4999891,4.999891,454.4099061,604.0131675
2020-04-25T17:00:00,Toscana,Tuscany,6146,138,9015,3729641,3.729641,1647.879783,2417.12272
2020-04-25T17:00:00,Trentino-Alto Adige,Trentino-Alto Adige/South Tyrol,2779,82,6314,1072276,1.072276,2591.683484,5888.409327
2020-04-25T17:00:00,Umbria,Umbria,297,3,1366,882015,0.882015,336.7289672,1548.726496
2020-04-25T17:00:00,Valle d'Aosta,Aosta,313,0,1100,125666,0.125666,2490.729394,8753.362087
2020-04-25T17:00:00,Veneto,Veneto,9432,162,17391,4905854,4.905854,1922.601039,3544.948545
2020-04-26T17:00:00,Abruzzo,Abruzzo,2068,27,2859,1311580,1.31158,1576.724256,2179.81366
2020-04-26T17:00:00,Basilicata,Basilicata,219,5,366,562869,0.562869,389.0780981,650.2401092
2020-04-26T17:00:00,Calabria,Calabria,797,1,1089,1947131,1.947131,409.3201741,559.2844036
2020-04-26T17:00:00,Campania,Campania,2924,32,4331,5801692,5.801692,503.9909047,746.506364
2020-04-26T17:00:00,Emilia-Romagna,Emilia-Romagna,12341,241,24450,4459477,4.459477,2767.364873,5482.705707
2020-04-26T17:00:00,Friuli Venezia Giulia,Friuli-Venezia Giulia,1248,14,2917,1215220,1.21522,1026.97454,2400.388407
2020-04-26T17:00:00,Lazio,Lazio,4573,85,6309,5879082,5.879082,777.8425271,1073.126723
2020-04-26T17:00:00,Liguria,Liguria,3480,187,7488,1550640,1.55064,2244.234639,4828.973843
2020-04-26T17:00:00,Lombardia,Lombardy,35166,920,72889,10060574,10.060574,3495.426802,7245.014052
2020-04-26T17:00:00,Marche,Marche,3308,53,6111,1525271,1.525271,2168.794922,4006.50114
2020-04-26T17:00:00,Molise,Molise,200,4,296,305617,0.305617,654.4138579,968.5325096
2020-04-26T17:00:00,Piemonte,Piedmont,15519,394,24820,4356406,4.356406,3562.340149,5697.35695
2020-04-26T17:00:00,Puglia,Apulia,2937,36,3948,4029053,4.029053,728.9554146,979.8828658
2020-04-26T17:00:00,Sardegna,Sardinia,783,9,1280,1639591,1.639591,477.5581227,780.6824995
2020-04-26T17:00:00,Sicilia,Sicily,2107,35,3055,4999891,4.999891,421.4091867,611.0133201
2020-04-26T17:00:00,Toscana,Tuscany,6069,132,9147,3729641,3.729641,1627.234364,2452.514867
2020-04-26T17:00:00,Trentino-Alto Adige,Trentino-Alto Adige/South Tyrol,2676,61,6375,1072276,1.072276,2495.626126,5945.297666
2020-04-26T17:00:00,Umbria,Umbria,296,2,1368,882015,0.882015,335.5951996,1550.994031
2020-04-26T17:00:00,Valle d'Aosta,Aosta,254,6,1106,125666,0.125666,2021.230882,8801.107698
2020-04-26T17:00:00,Veneto,Veneto,9138,80,17471,4905854,4.905854,1862.672636,3561.255594
2020-04-27T17:00:00,Abruzzo,Abruzzo,2030,15,2874,1311580,1.31158,1547.751567,2191.250248
2020-04-27T17:00:00,Basilicata,Basilicata,217,0,366,562869,0.562869,385.5248735,650.2401092
2020-04-27T17:00:00,Calabria,Calabria,782,7,1096,1947131,1.947131,401.6165322,562.8794365
2020-04-27T17:00:00,Campania,Campania,2877,18,4349,5801692,5.801692,495.8898197,749.6089072
2020-04-27T17:00:00,Emilia-Romagna,Emilia-Romagna,12225,212,24662,4459477,4.459477,2741.352854,5530.244914
2020-04-27T17:00:00,Friuli Venezia Giulia,Friuli-Venezia Giulia,1258,60,2977,1215220,1.21522,1035.203502,2449.762183
2020-04-27T17:00:00,Lazio,Lazio,4562,83,6392,5879082,5.879082,775.9714867,1087.244573
2020-04-27T17:00:00,Liguria,Liguria,3580,154,7642,1550640,1.55064,2308.72414,4928.287675
2020-04-27T17:00:00,Lombardia,Lombardy,35441,590,73479,10060574,10.060574,3522.761226,7303.658817
2020-04-27T17:00:00,Marche,Marche,3310,16,6127,1525271,1.525271,2170.106165,4016.991079
2020-04-27T17:00:00,Molise,Molise,200,0,296,305617,0.305617,654.4138579,968.5325096
2020-04-27T17:00:00,Piemonte,Piedmont,15508,278,25098,4356406,4.356406,3559.815132,5761.17102
2020-04-27T17:00:00,Puglia,Apulia,2912,10,3958,4029053,4.029053,722.7504826,982.3648386
