Province_State,total,new,pop.per.mil,total.per.pop,new.per.pop,taste,smell,hearing,sight,covid
Alabama,2169,1182,4.895077296,443.0982125,241.4670757,17,34,18,16,86
Alaska,213,94,0.737956555,288.6348776,127.3787723,,,,,60
Arizona,2575,1286,7.16690653,359.2903004,179.4358549,29,13,15,18,87
Arkansas,946,423,3.014494885,313.8170858,140.3220162,20,,20,28,74
California,17351,9141,39.5172324,439.0742707,231.3168065,21,17,11,5,76
Colorado,5429,2463,5.694822693,953.3220422,432.4981009,33,26,6,10,87
Connecticut,7781,4653,3.571659937,2178.538869,1302.755604,55,71,11,31,82
Delaware,928,609,0.967170664,959.4997394,629.671704,,48,50,,79
District of Columbia,1211,716,0.702281927,1724.378705,1019.533569,48,,37,,72
Florida,14545,7804,21.29657228,682.9737579,366.4439468,23,19,8,11,77
Georgia,8822,4893,10.51967433,838.6191175,465.1284677,28,24,8,11,83
Hawaii,410,206,1.421342383,288.4597018,144.9334112,36,36,19,,97
Idaho,1170,655,1.754738016,666.7662008,373.2750953,29,57,22,,75
Illinois,13553,7559,12.74959669,1063.014018,592.8814994,41,36,12,5,86
Indiana,5510,3352,6.687791776,823.8892873,501.211777,47,48,8,23,85
Iowa,1046,549,3.161115801,330.8958184,173.6728531,27,44,9,25,83
Kansas,912,478,2.912092993,313.1768121,164.1431099,27,18,28,26,85
Kentucky,1149,521,4.474044924,256.8145871,116.4494342,24,24,13,18,94
Louisiana,16284,11047,4.659906815,3494.490479,2370.648264,77,57,16,18,85
Maine,519,216,1.339168415,387.5539432,161.2941267,,35,27,,78
Maryland,4371,2711,6.039493294,723.7362122,448.8787168,27,44,9,,86
Massachusetts,15202,8582,6.901807044,2202.611563,1243.44247,37,39,18,8,93
Michigan,18970,11355,9.994084808,1898.122776,1136.172068,46,58,13,7,94
Minnesota,1069,440,5.601783882,190.8320675,78.54640759,23,16,26,16,76
Mississippi,1915,978,2.986977405,641.1163329,327.4212917,22,44,23,,95
Missouri,3130,1773,6.119095622,511.513497,289.7486997,24,28,12,,87
Montana,319,121,1.06176505,300.4431158,113.9611819,,,,,76
Nebraska,447,275,1.925666199,232.1274581,142.8077203,24,48,19,,83
Nevada,2124,1010,3.03306389,700.2819845,332.9966122,15,38,16,,84
New Hampshire,715,358,1.35498021,527.6829835,264.2105008,32,32,16,,84
New Jersey,44416,25720,8.907620709,4986.292238,2887.415264,77,79,11,12,86
New Mexico,794,479,2.097493404,378.5470784,228.3678219,25,25,13,,68
New York,139875,64042,9.425788394,14839.60748,6794.338821,100,100,16,8,79
North Carolina,3299,1764,10.37163188,318.0791643,170.0793106,19,25,16,6,81
North Dakota,237,115,0.759325765,312.1190022,151.4501488,64,,,,91
Ohio,4782,2583,11.69437003,408.9147162,220.8755148,37,41,12,10,83
Oklahoma,1474,906,3.948714824,373.2860097,229.44174,36,36,22,20,88
Oregon,1132,442,4.184880722,270.4975542,105.618303,27,21,11,15,78
Pennsylvania,14853,9890,12.80845933,1159.624247,772.1459504,24,35,19,7,80
Rhode Island,1229,741,1.057251096,1162.448547,700.8741847,38,38,20,,90
South Carolina,2417,1334,5.086464047,475.1827551,262.2647064,26,20,13,,83
South Dakota,320,212,0.883394301,362.2391493,239.9834364,,64,33,,100
Tennessee,4139,1748,6.769245603,611.4418419,258.2267069,33,7,19,,87
Texas,8925,5116,28.6683114,311.3193475,178.4548775,23,21,8,11,81
Utah,1739,851,3.162735611,549.840459,269.0708629,21,28,,20,75
Vermont,575,282,0.626215016,918.2149667,450.3245576,,,,,72
Virginia,3335,2086,8.522545386,391.3150179,244.7625569,34,26,14,21,84
Washington,8692,3260,7.534383013,1153.644563,432.6830736,35,29,14,8,74
West Virginia,412,250,1.803508772,228.4435798,138.618677,52,35,18,100,90
Wisconsin,2578,1166,5.821344477,442.8530231,200.2973719,35,16,10,11,74
Wyoming,216,107,0.576973288,374.367418,185.4505265,,,100,,68
