data,Region,region.en,total positive,total cases,population,population.per.mil,total.pos.per.mil,total.cas.per.mil,new,new.per.pop,taste,smell,covid
17-03-20,Abruzzo,Abruzzo,216,229,1311580,1.31158,164.6868662,174.5985758,191,145.6258863,,,98
17-03-20,Basilicata,Basilicata,20,20,562869,0.562869,35.5322464,35.5322464,13,23.09596016,,,85
17-03-20,Calabria,Calabria,112,114,1947131,1.947131,57.52052635,58.54767861,101,51.87118894,,,82
17-03-20,Campania,Campania,423,460,5801692,5.801692,72.90976494,79.28721483,333,57.397049,,9,92
17-03-20,Emilia-Romagna,Emilia-Romagna,3404,3931,4459477,4.459477,763.3182097,881.4935025,2398,537.7312183,60,38,79
17-03-20,Friuli Venezia Giulia,Friuli-Venezia Giulia,347,394,1215220,1.21522,285.5450042,324.2211287,278,228.7651619,,,82
17-03-20,Lazio,Lazio,550,607,5879082,5.879082,93.55202054,103.2474118,491,83.51644015,14,6,82
17-03-20,Liguria,Liguria,661,778,1550640,1.55064,426.2756023,501.7283186,637,410.7981221,34,29,92
17-03-20,Lombardia,Lombardy,12095,16220,10060574,10.060574,1202.217687,1612.234053,10429,1036.620773,100,100,93
17-03-20,Marche,Marche,1302,1371,1525271,1.525271,853.6187995,898.8566622,977,640.5419103,36,,73
17-03-20,Molise,Molise,19,25,305617,0.305617,62.1693165,81.80173223,10,32.72069289,,,73
17-03-20,Piemonte,Piedmont,1764,1897,4356406,4.356406,404.9209371,435.4506903,1444,331.4658918,34,25,100
17-03-20,Puglia,Apulia,320,340,4029053,4.029053,79.42312995,84.38707557,281,69.74343599,,,84
17-03-20,Sardegna,Sardinia,115,117,1639591,1.639591,70.13944331,71.35925972,97,59.16109566,,,96
17-03-20,Sicilia,Sicily,226,237,4999891,4.999891,45.20098538,47.40103334,175,35.00076302,,12,82
17-03-20,Toscana,Tuscany,1024,1053,3729641,3.729641,274.5572563,282.3328036,789,211.548511,27,,94
17-03-20,Trentino-Alto Adige,Trentino-Alto Adige/South Tyrol,650,676,1072276,1.072276,606.187213,630.4347015,586,546.5010874,,,68
17-03-20,Umbria,Umbria,192,197,882015,0.882015,217.6833727,223.3522106,160,181.4028106,,,88
17-03-20,Valle d'Aosta,Aosta,134,136,125666,0.125666,1066.318654,1082.233858,119,946.9546258,,,83
17-03-20,Veneto,Veneto,2488,2704,4905854,4.905854,507.149214,551.1782454,1848,376.6928245,48,32,80
,,,,,,,,,,,,,
data,,,,,,,,,,,,,
2020-03-17T17:00:00,,,,,,,,,,,,,
2020-03-17T17:00:00,,,,,,,,,,,,,
2020-03-17T17:00:00,,,,,,,,,,,,,
2020-03-17T17:00:00,,,,,,,,,,,,,
2020-03-17T17:00:00,,,,,,,,,,,,,
2020-03-17T17:00:00,,,,,,,,,,,,,
2020-03-17T17:00:00,,,,,,,,,,,,,
2020-03-17T17:00:00,,,,,,,,,,,,,
2020-03-17T17:00:00,,,,,,,,,,,,,
2020-03-17T17:00:00,,,,,,,,,,,,,
2020-03-17T17:00:00,,,,,,,,,,,,,
2020-03-17T17:00:00,,,,,,,,,,,,,
2020-03-17T17:00:00,,,,,,,,,,,,,
2020-03-17T17:00:00,,,,,,,,,,,,,
2020-03-17T17:00:00,,,,,,,,,,,,,
2020-03-17T17:00:00,,,,,,,,,,,,,
2020-03-17T17:00:00,,,,,,,,,,,,,
2020-03-17T17:00:00,,,,,,,,,,,,,
2020-03-17T17:00:00,,,,,,,,,,,,,
2020-03-17T17:00:00,,,,,,,,,,,,,
