Province_State,total,new,pop.per.mil,total.per.pop,new.per.pop,taste,smell,hearing,sight,covid
New York,75833,50152,9.425788394,8045.268664,5320.722034,100,100,25,20,87
New Jersey,18696,15021,8.907620709,2098.876974,1686.308891,61,53,16,18,74
Louisiana,5237,3849,4.659906815,1123.842216,825.9821822,29,37,25,,100
Massachusetts,6620,5461,6.901807044,959.1690927,791.2420567,36,43,19,33,75
Connecticut,3128,2510,3.571659937,875.7832647,702.7544739,50,39,11,,72
Michigan,7615,5822,9.994084808,761.9507085,582.5445863,51,37,16,32,97
District of Columbia,495,354,0.702281927,704.8451353,504.0710664,31,46,,,75
Washington,5432,3104,7.534383013,720.9614896,411.977994,17,17,12,17,71
Colorado,2966,2243,5.694822693,520.8239413,393.8665207,27,33,33,21,78
Illinois,5994,4457,12.74959669,470.1325185,349.5796855,31,21,16,28,82
Rhode Island,488,364,1.057251096,461.5743619,344.2890732,25,27,25,,77
Vermont,293,198,0.626215016,467.8904091,316.1853277,49,,100,,77
Pennsylvania,4963,4017,12.80845933,387.4782965,313.6208577,36,17,18,25,75
Georgia,3929,2903,10.51967433,373.4906498,275.9591134,31,19,25,45,74
Nevada,1114,836,3.03306389,367.2853723,275.628879,10,30,21,88,78
Indiana,2158,1790,6.687791776,322.6775104,267.6518737,21,10,21,,87
Florida,6741,5329,21.29657228,316.5298111,250.2280616,20,14,21,24,72
Idaho,515,434,1.754738016,293.4911055,247.3303685,39,14,40,,92
Tennessee,2391,1619,6.769245603,353.2151351,239.1699304,14,21,12,31,78
Delaware,319,215,0.967170664,329.8280354,222.2978922,63,24,32,,64
Maryland,1660,1311,6.039493294,274.8574954,217.0711906,51,36,16,,81
Mississippi,937,617,2.986977405,313.6950412,206.5633302,29,11,,66,77
New Hampshire,357,256,1.35498021,263.4724827,188.9326486,21,,43,,77
Utah,888,590,3.162735611,280.7695961,186.5473668,18,10,14,,85
Missouri,1357,1100,6.119095622,221.7647973,179.7651267,29,14,5,23,75
Wisconsin,1412,931,5.821344477,242.5556511,159.9286906,26,23,16,23,77
Alabama,987,745,4.895077296,201.6311368,152.1937152,8,11,39,33,84
South Carolina,1083,741,5.086464047,212.9180487,145.6807702,33,17,10,44,73
California,8210,5672,39.5172324,207.7574643,143.5323188,22,19,11,14,70
Ohio,2199,1632,11.69437003,188.0392014,139.5543323,14,13,27,22,77
Wyoming,109,80,0.576973288,188.9168915,138.6545993,,,,,73
Montana,198,147,1.06176505,186.481934,138.4487086,66,,34,,85
Maine,303,185,1.339168415,226.2598166,138.1454326,23,34,24,,60
Arizona,1289,963,7.16690653,179.8544455,134.3675958,26,14,24,19,86
Iowa,497,373,3.161115801,157.2229653,117.99631,27,16,22,48,75
Oklahoma,568,462,3.948714824,143.8442697,117.0000926,19,22,15,43,91
Alaska,119,85,0.737956555,161.2561053,115.1829324,,,54,,86
Oregon,690,480,4.184880722,164.8792512,114.6986096,22,40,18,32,67
Kansas,434,334,2.912092993,149.0337023,114.6941395,12,9,19,,71
North Dakota,122,86,0.759325765,160.6688535,113.2583721,44,,,,81
Virginia,1249,956,8.522545386,146.552461,112.1730606,26,17,11,34,73
Kentucky,628,466,4.474044924,140.3651529,104.1563078,28,32,20,35,72
New Mexico,315,215,2.097493404,150.1792566,102.5033021,50,18,17,73,72
Arkansas,523,304,3.014494885,173.4950696,100.8460825,13,10,14,58,77
North Carolina,1535,1040,10.37163188,147.9998536,100.2735165,17,14,20,37,74
Texas,3809,2854,28.6683114,132.86447,99.55242776,17,17,11,31,73
South Dakota,108,78,0.883394301,122.2557129,88.29579265,,31,64,,90
Hawaii,204,114,1.421342383,143.5262907,80.20586831,,35,,,72
West Virginia,162,140,1.803508772,89.82490272,77.62645914,69,33,46,100,100
Minnesota,629,368,5.601783882,112.2856599,65.69335907,26,13,32,,77
Nebraska,172,106,1.925666199,89.3197378,55.04588492,55,35,32,69,76
