Province_State,total,new,pop.per.mil,total.per.pop,new.per.pop,taste,smell,hearing,sight,covid
Hawaii,511,101,1.421342383,359.5192869,71.05958508,97,25,,,49
Montana,399,80,1.06176505,375.7893518,75.34623595,93,,78,,63
Alaska,285,72,0.737956555,386.2015968,97.5667192,,,61,,100
Minnesota,1695,626,5.601783882,302.5821838,111.7501162,34,10,14,42,58
Wyoming,282,66,0.576973288,488.7574624,114.3900444,,,,,68
Oregon,1633,501,4.184880722,390.2142279,119.7166737,29,,16,30,51
West Virginia,640,228,1.803508772,354.8638132,126.4202335,62,,26,,73
North Dakota,341,104,0.759325765,449.082615,136.9636128,,,100,,55
New Hampshire,922,207,1.35498021,680.4527423,152.7697589,55,32,71,,66
Maine,735,216,1.339168415,548.8480699,161.2941267,,24,54,,60
Idaho,1464,294,1.754738016,834.3125794,167.5463787,53,20,22,,76
Wisconsin,3555,977,5.821344477,610.6836683,167.8306453,21,16,24,,61
Arizona,3809,1234,7.16690653,531.4705841,172.1802837,24,4,10,,65
North Carolina,5113,1814,10.37163188,492.979317,174.9001528,34,9,21,12,61
Oklahoma,2184,710,3.948714824,553.0913468,179.8053371,,10,11,,62
Kansas,1441,529,2.912092993,494.833099,181.6562869,65,,14,100,52
Arkansas,1498,552,3.014494885,496.9323409,183.1152551,70,13,22,,59
Kentucky,2048,899,4.474044924,457.7513268,200.9367396,62,16,13,32,75
California,25356,8005,39.5172324,641.6441248,202.569854,33,10,13,13,61
Texas,15006,6081,28.6683114,523.4350844,212.1157369,24,9,15,15,64
Ohio,7285,2503,11.69437003,622.9493324,214.0346162,38,9,16,10,59
Utah,2417,678,3.162735611,764.2118398,214.3713808,,10,11,,51
South Carolina,3553,1136,5.086464047,698.5206161,223.3378609,27,7,19,,65
Nebraska,897,450,1.925666199,465.8128186,233.6853605,43,,55,,65
Tennessee,5827,1688,6.769245603,860.8049319,249.3630899,26,5,,,62
New Mexico,1345,551,2.097493404,641.2415875,262.6945091,89,,18,69,59
Missouri,4746,1616,6.119095622,775.6048104,264.0913135,49,16,27,,68
Iowa,1899,853,3.161115801,600.7372459,269.8414274,31,12,33,47,66
Washington,10799,2107,7.534383013,1433.295863,279.6512994,27,10,16,17,49
Vermont,752,177,0.626215016,1200.865487,282.6505202,,,,,67
Florida,21628,7083,21.29657228,1015.562491,332.5887334,29,10,15,25,57
Nevada,3134,1010,3.03306389,1033.278597,332.9966122,42,11,35,,55
Virginia,6182,2847,8.522545386,725.370147,334.0551292,52,8,16,13,61
Alabama,3953,1784,4.895077296,807.5459816,364.4477691,,,33,30,57
Mississippi,3087,1172,2.986977405,1033.486224,392.3698915,80,,17,,81
Colorado,7950,2521,5.694822693,1396.004832,442.6827903,72,10,8,20,66
Indiana,8527,3017,6.687791776,1275.009792,451.1205045,48,13,9,21,68
Georgia,14578,5756,10.51967433,1385.784345,547.1652279,56,7,12,11,69
South Dakota,988,668,0.883394301,1118.413374,756.1742242,,,48,,66
Illinois,23248,9695,12.74959669,1823.430229,760.4162107,46,22,25,44,70
Michigan,27001,8031,9.994084808,2701.698106,803.5753302,64,18,20,18,72
Pennsylvania,25465,10612,12.80845933,1988.139194,828.514947,37,19,31,9,65
Maryland,9472,5101,6.039493294,1568.343492,844.6072795,35,23,20,18,71
Delaware,1926,998,0.967170664,1991.375537,1031.875797,86,,36,,74
Louisiana,21518,5234,4.659906815,4617.688905,1123.198426,78,13,38,,72
District of Columbia,2058,847,0.702281927,2930.447047,1206.068343,88,100,37,,53
Connecticut,13989,6208,3.571659937,3916.666269,1738.1274,40,34,16,,77
Massachusetts,28164,12962,6.901807044,4080.670442,1878.058879,55,9,23,23,69
Rhode Island,3251,2022,1.057251096,3074.955431,1912.506885,69,39,,,78
New Jersey,68824,24408,8.907620709,7726.41789,2740.125652,86,27,7,12,70
New York,203020,63145,9.425788394,21538.78185,6699.174367,100,45,20,16,62
