data,Region,region.en,total positive,total cases,population,population.per.mil,total.pos.per.mil,total.cas.per.mil,new,new.per.pop,taste,smell,covid
2020-04-21T17:00:00,Abruzzo,Abruzzo,2067,2667,1311580,1.31158,1575.961817,2033.425334,232,176.8858934,,,100
2020-04-21T17:00:00,Valle d'Aosta,Aosta,522,1093,125666,0.125666,4153.86819,8697.658874,26,206.8976493,,,
2020-04-21T17:00:00,Puglia,Apulia,2812,3622,4029053,4.029053,697.9307544,898.9705521,358,88.85462663,,44,41
2020-04-21T17:00:00,Basilicata,Basilicata,245,350,562869,0.562869,435.2700184,621.814312,16,28.42579712,,,71
2020-04-21T17:00:00,Calabria,Calabria,819,1047,1947131,1.947131,420.618849,537.7142062,50,25.67880641,,,40
2020-04-21T17:00:00,Campania,Campania,2946,4135,5801692,5.801692,507.782902,712.7231159,245,42.22906007,27,27,56
2020-04-21T17:00:00,Emilia-Romagna,Emilia-Romagna,13244,23092,4459477,4.459477,2969.854985,5178.185693,1822,408.5680899,31,,51
2020-04-21T17:00:00,Friuli Venezia Giulia,Friuli-Venezia Giulia,1322,2792,1215220,1.21522,1087.868863,2297.526374,203,167.0479419,,,49
2020-04-21T17:00:00,Lazio,Lazio,4402,5895,5879082,5.879082,748.7563535,1002.707566,572,97.29410136,83,41,63
2020-04-21T17:00:00,Liguria,Liguria,3463,6764,1550640,1.55064,2233.271423,4362.069855,1008,650.0541712,,100,48
2020-04-21T17:00:00,Lombardia,Lombardy,33978,67931,10060574,10.060574,3377.342088,6752.199228,6417,637.83637,22,11,68
2020-04-21T17:00:00,Marche,Marche,3218,5877,1525271,1.525271,2109.789015,3853.08578,298,195.3751169,100,,29
2020-04-21T17:00:00,Molise,Molise,213,282,305617,0.305617,696.9507586,922.7235396,15,49.08103934,,,
2020-04-21T17:00:00,Piemonte,Piedmont,14811,21955,4356406,4.356406,3399.820862,5039.704747,3495,802.2668227,34,34,46
2020-04-21T17:00:00,Sardegna,Sardinia,837,1236,1639591,1.639591,510.4931657,753.8465386,49,29.88550193,,,40
2020-04-21T17:00:00,Sicilia,Sicily,2259,2835,4999891,4.999891,451.8098495,567.0123609,285,57.00124263,38,,58
2020-04-21T17:00:00,Trentino-Alto Adige,Trentino-Alto Adige/South Tyrol,3445,6024,1072276,1.072276,3212.792229,5617.956571,499,465.3652604,,,29
2020-04-21T17:00:00,Toscana,Tuscany,6622,8603,3729641,3.729641,1775.506007,2306.656324,628,168.3808173,39,39,51
2020-04-21T17:00:00,Umbria,Umbria,407,1353,882015,0.882015,461.4433995,1533.987517,26,29.47795672,,,92
2020-04-21T17:00:00,Veneto,Veneto,10077,16404,4905854,4.905854,2054.076619,3343.760332,1304,265.8048935,32,32,57
