Province_State,total,new,pop.per.mil,total.per.pop,new.per.pop,taste,smell,hearing,sight,covid
Alabama,242,203,4.895077296,49.43742159,41.47023381,8,13,32,74,75
Alaska,34,31,0.737956555,46.07317296,42.00789299,,,,,100
Arizona,326,306,7.16690653,45.48684968,42.6962454,24,36,37,21,77
Arkansas,219,216,3.014494885,72.64898709,71.65379549,14,,19,65,77
California,2538,1838,39.5172324,64.22514548,46.51135437,23,33,14,9,69
Colorado,723,556,5.694822693,126.9574206,97.63253923,48,56,21,24,85
Connecticut,618,550,3.571659937,173.0287908,153.9900242,28,70,26,37,70
Delaware,104,88,0.967170664,107.5301432,90.98704426,35,36,46,,69
District of Columbia,141,119,0.702281927,200.7740688,169.4476184,48,51,43,,57
Florida,1412,1222,21.29657228,66.30174948,57.38012596,21,21,15,20,69
Georgia,1026,880,10.51967433,97.53153645,83.6527798,36,51,5,13,72
Hawaii,90,80,1.421342383,63.32042235,56.28481987,,27,34,,78
Idaho,81,73,1.754738016,46.16073698,41.60165184,22,23,29,100,67
Illinois,1537,1376,12.74959669,120.552833,107.9249826,30,30,10,16,89
Indiana,368,338,6.687791776,55.02563661,50.53985102,11,26,29,,84
Iowa,124,101,3.161115801,39.22665534,31.95074346,,26,16,,87
Kansas,100,82,2.912092993,34.33956273,28.15844144,41,14,36,62,76
Kentucky,162,136,4.474044924,36.20884518,30.39754904,13,22,22,,73
Louisiana,1388,1192,4.659906815,297.8600335,255.7991066,40,45,23,,84
Maine,118,92,1.339168415,88.11438401,68.69935025,52,27,34,,75
Maryland,349,289,6.039493294,57.78630475,47.85169648,32,40,10,45,76
Massachusetts,1159,942,6.901807044,167.927036,136.4859948,43,55,27,19,75
Michigan,1793,1730,9.994084808,179.4061222,173.1023934,39,40,27,44,86
Minnesota,261,202,5.601783882,46.59230086,36.05994166,23,35,34,26,89
Mississippi,320,299,2.986977405,107.131711,100.1011924,16,25,43,,93
Missouri,257,245,6.119095622,41.99967052,40.03859641,23,38,11,,93
Montana,51,43,1.06176505,48.03322542,40.49860182,,,100,,75
Nebraska,66,43,1.925666199,34.27385288,22.32993445,17,54,23,78,71
Nevada,278,223,3.03306389,91.65649326,73.52301438,22,28,14,,71
New Hampshire,101,75,1.35498021,74.53983403,55.3513619,23,36,30,,58
New Jersey,3675,3425,8.907620709,412.568083,384.502227,64,70,14,14,75
New Mexico,100,77,2.097493404,47.67595446,36.71048494,18,37,23,,80
New York,25681,24103,9.425788394,2724.54663,2557.133578,85,100,32,13,77
North Carolina,495,431,10.37163188,47.72633717,41.55565923,15,20,18,14,69
North Dakota,36,33,0.759325765,47.41048135,43.4596079,100,,,,93
Ohio,567,500,11.69437003,48.48486911,42.7556165,11,23,16,19,76
Oklahoma,106,89,3.948714824,26.84417709,22.53897887,27,22,14,48,82
Oregon,210,144,4.184880722,50.18064168,34.40958287,31,24,10,36,76
Pennsylvania,946,834,12.80845933,73.85743874,65.11321766,22,26,10,17,79
Rhode Island,124,101,1.057251096,117.2852887,95.53075932,42,44,37,,72
South Carolina,342,295,5.086464047,67.23727855,57.99706776,14,19,9,66,70
South Dakota,30,19,0.883394301,33.95992025,21.50794949,,50,,,75
Tennessee,772,698,6.769245603,114.0452046,103.1134104,15,19,27,47,75
Texas,955,845,28.6683114,33.31204223,29.47505307,11,24,17,20,73
Utah,298,259,3.162735611,94.22222931,81.89113219,24,25,25,,74
Vermont,95,83,0.626215016,151.7050815,132.5423343,55,,,,80
Virginia,293,226,8.522545386,34.37940037,26.51789926,27,21,24,31,68
Washington,2328,1373,7.534383013,308.9834955,182.2312454,23,42,22,,67
West Virginia,22,22,1.803508772,12.19844358,12.19844358,25,25,32,,89
Wisconsin,481,408,5.821344477,82.62696047,70.08690202,26,15,37,26,84
Wyoming,29,18,0.576973288,50.26229223,31.19728483,,,,,79
