Province_State,total,new,pop.per.mil,total.per.pop,new.per.pop,taste,smell,hearing,sight,covid
Alabama,5317,1433,4.895077296,1086.193267,292.7430791,,32,17,,53
Alaska,329,22,0.737956555,445.825703,29.81205309,,,80,,56
Arizona,5256,1699,7.16690653,733.3708034,237.0618331,13,30,10,,58
Arkansas,1990,1137,3.014494885,660.143764,377.1776179,,,38,,61
California,35465,10699,39.5172324,897.4565738,270.7426444,10,10,15,6,53
Colorado,10473,3843,5.694822693,1839.038819,674.8234681,15,32,22,,63
Connecticut,20360,5952,3.571659937,5700.430713,1666.452043,35,32,22,44,s
Delaware,2931,1644,0.967170664,3030.48894,1699.803418,64,,,,38
District of Columbia,3098,896,0.702281927,4411.333796,1275.840891,,71,,,54
Florida,27869,4979,21.29657228,1308.614346,233.793492,12,9,14,34,49
Georgia,19881,5041,10.51967433,1889.887404,479.1973443,16,18,13,26,65
Hawaii,586,23,1.421342383,412.2863055,16.18188571,,,,,53
Idaho,1736,216,1.754738016,989.321474,123.0952986,,,31,,44
Illinois,33059,15043,12.74959669,2592.944766,1179.88046,16,39,3,26,70
Indiana,12097,4491,6.687791776,1808.818277,671.5221033,20,11,23,31,67
Iowa,3641,2735,3.161115801,1151.808485,865.2008254,,25,17,66,51
Kansas,2164,1488,2.912092993,743.1081375,510.9726935,70,52,54,,47
Kentucky,3204,1171,4.474044924,716.1304937,261.7318377,15,17,11,48,67
Louisiana,24854,2432,4.659906815,5333.583049,521.8988483,,,25,,58
Maine,888,152,1.339168415,663.0980763,113.5032743,,54,37,,100
Maryland,14193,5920,6.039493294,2350.031585,980.2146823,21,38,27,40,74
Massachusetts,41199,17103,6.901807044,5969.306261,2478.046676,26,38,11,23,73
Michigan,32667,6595,9.994084808,3268.633459,659.8903378,12,10,35,58,67
Minnesota,2567,1614,5.601783882,458.2468824,288.1225042,,30,36,64,65
Mississippi,4716,1626,2.986977405,1578.853591,544.3630064,,,23,90,65
Missouri,6066,1384,6.119095622,991.3229625,226.177214,21,,20,,50
Montana,437,14,1.06176505,411.5788139,13.18559129,69,,,,46
Nebraska,1685,1832,1.925666199,875.02185,951.3590677,33,35,,,50
Nevada,3937,884,3.03306389,1298.027388,291.4544606,39,43,31,,59
New Hampshire,1490,520,1.35498021,1099.647056,383.7694425,,,,,41
New Jersey,92387,21469,8.907620709,10371.68095,2410.183449,22,59,13,,66
New Mexico,1971,1003,2.097493404,939.6930625,478.1898233,33,37,98,100,68
New York,258361,41587,9.425788394,27410.01487,4412.044729,22,19,27,,55
North Carolina,7134,2621,10.37163188,687.8377563,252.7085449,5,11,9,16,53
North Dakota,644,347,0.759325765,848.120833,456.9843619,90,100,,,61
Ohio,13725,3044,11.69437003,1173.641673,260.2961932,24,10,24,30,70
Oklahoma,2807,603,3.948714824,710.8641989,152.707913,,,,,55
Oregon,2004,381,4.184880722,478.8666949,91.04202134,,,10,42,61
Pennsylvania,35249,9888,12.80845933,2752.009364,771.9898036,9,7,15,14,68
Rhode Island,5500,2427,1.057251096,5202.170062,2295.575771,,,,,64
South Carolina,4439,1296,5.086464047,872.7084196,254.7938977,13,37,20,,47
South Dakota,1755,558,0.883394301,1986.655335,631.6545166,88,,,,66
Tennessee,7394,2658,6.769245603,1092.293061,392.6582305,10,,7,29,51
Texas,20574,5783,28.6683114,717.6564992,201.7209845,12,6,16,9,54
Utah,3297,1048,3.162735611,1042.45198,331.3587125,19,,15,,50
Vermont,818,44,0.626215016,1306.260596,70.26340615,100,,,,53
Virginia,9630,4709,8.522545386,1129.944115,552.5344585,19,22,10,,49
Washington,12563,1450,7.534383013,1667.422532,192.4510604,15,9,11,,68
West Virginia,908,187,1.803508772,503.463035,103.6867704,,,,,37
Wisconsin,4625,1664,5.821344477,794.4900045,285.84462,,23,16,,54
Wyoming,443,93,0.576973288,767.7998434,161.1859716,,,100,,38
