data,Region,region.en,total positive,total cases,population,population.per.mil,total.pos.per.mil,total.cas.per.mil,new,new.per.pop,taste,smell,covid
2020-04-14T17:00:00,Abruzzo,Abruzzo,1800,2245,1311580,1.31158,1372.390552,1711.675994,446,340.0478812,,,44
2020-04-14T17:00:00,Basilicata,Basilicata,265,319,562869,0.562869,470.8022648,566.7393301,28,49.74514496,,,28
2020-04-14T17:00:00,Calabria,Calabria,816,956,1947131,1.947131,419.0781206,490.9787785,123,63.16986376,,,39
2020-04-14T17:00:00,Campania,Campania,3094,3769,5801692,5.801692,533.2927015,649.6380711,621,107.03774,,14,49
2020-04-14T17:00:00,Emilia-Romagna,Emilia-Romagna,13778,20752,4459477,4.459477,3089.599969,4653.460484,2927,656.3549941,32,23,38
2020-04-14T17:00:00,Friuli Venezia Giulia,Friuli-Venezia Giulia,899,2520,1215220,1.21522,739.7837429,2073.69859,367,302.0029295,,,15
2020-04-14T17:00:00,Lazio,Lazio,4022,5111,5879082,5.879082,684.120412,869.3534127,962,163.6309886,21,15,39
2020-04-14T17:00:00,Liguria,Liguria,3466,5808,1550640,1.55064,2235.206108,3745.550224,1051,677.7846567,100,49,32
2020-04-14T17:00:00,Lombardia,Lombardy,32363,61326,10060574,10.060574,3216.814468,6095.676052,9001,894.680562,64,29,39
2020-04-14T17:00:00,Marche,Marche,3095,5426,1525271,1.525271,2029.147607,3557.400619,716,469.4247776,,100,26
2020-04-14T17:00:00,Molise,Molise,200,257,305617,0.305617,654.4138579,840.9218074,33,107.9782865,,,32
2020-04-14T17:00:00,Piemonte,Piedmont,13055,17690,4356406,4.356406,2996.736301,4060.686722,4347,997.8408808,68,33,53
2020-04-14T17:00:00,Puglia,Apulia,2552,3118,4029053,4.029053,633.3994614,773.8791225,604,149.9111578,45,22,39
2020-04-14T17:00:00,Sardegna,Sardinia,900,1138,1639591,1.639591,548.9173824,694.0755347,203,123.8113652,,,30
2020-04-14T17:00:00,Sicilia,Sicily,2071,2501,4999891,4.999891,414.2090298,500.2109046,404,80.80176148,60,,33
2020-04-14T17:00:00,Toscana,Tuscany,6352,7527,3729641,3.729641,1703.112981,2018.156707,1354,363.0376221,39,19,38
2020-04-14T17:00:00,Trentino-Alto Adige,Trentino-Alto Adige/South Tyrol,3646,5325,1072276,1.072276,3400.243967,4966.072168,1038,968.0343494,,,39
2020-04-14T17:00:00,Umbria,Umbria,622,1321,882015,0.882015,705.2034262,1497.706955,58,65.75851885,,,18
2020-04-14T17:00:00,Valle d'Aosta,Aosta,559,947,125666,0.125666,4448.29946,7535.848997,112,891.2514125,,,100
2020-04-14T17:00:00,Veneto,Veneto,10736,14432,4905854,4.905854,2188.405933,2941.791582,2507,511.022138,31,45,30
,,,,,,,,,26902,sum,,,
