data,Region,region.en,total positive,total cases,population,population.per.mil,total.pos.per.mil,total.cas.per.mil,new,new.per.pop,taste,smell,covid
2020-04-07T17:00:00,Abruzzo,Abruzzo,1491,1799,1311580,1.31158,1136.79684,1371.628113,398,303.4507998,,,18
2020-04-07T17:00:00,Basilicata,Basilicata,265,291,562869,0.562869,470.8022648,516.9941851,65,115.4798008,,,34
2020-04-07T17:00:00,Calabria,Calabria,733,833,1947131,1.947131,376.4513019,427.8089148,174,89.3622463,,,20
2020-04-07T17:00:00,Campania,Campania,2765,3148,5801692,5.801692,476.5851066,542.6003311,1056,182.0158671,33,,28
2020-04-07T17:00:00,Emilia-Romagna,Emilia-Romagna,13048,17825,4459477,4.459477,2925.903643,3997.10549,3751,841.1300249,61,41,24
2020-04-07T17:00:00,Friuli Venezia Giulia,Friuli-Venezia Giulia,1379,2153,1215220,1.21522,1134.77395,1771.69566,560,460.8219088,,,17
2020-04-07T17:00:00,Lazio,Lazio,3365,4149,5879082,5.879082,572.3682711,705.722424,1054,179.2796903,33,21,24
2020-04-07T17:00:00,Liguria,Liguria,3212,4757,1550640,1.55064,2071.402776,3067.765568,1341,864.8042099,78,,25
2020-04-07T17:00:00,Lombardia,Lombardy,28343,52325,10060574,10.060574,2817.234881,5200.99549,9117,906.2107192,100,71,24
2020-04-07T17:00:00,Marche,Marche,3738,4710,1525271,1.525271,2450.712037,3087.975842,885,580.2247601,,100,22
2020-04-07T17:00:00,Molise,Molise,185,224,305617,0.305617,605.3328185,732.9435208,80,261.7655431,,,19
2020-04-07T17:00:00,Piemonte,Piedmont,10704,13343,4356406,4.356406,2457.071265,3062.845841,4042,927.8290407,79,34,32
2020-04-07T17:00:00,Puglia,Apulia,2137,2514,4029053,4.029053,530.3975897,623.9679647,711,176.4682669,52,29,20
2020-04-07T17:00:00,Sardegna,Sardinia,821,935,1639591,1.639591,500.7346344,570.2641695,213,129.9104472,,,25
2020-04-07T17:00:00,Sicilia,Sicily,1859,2097,4999891,4.999891,371.8081054,419.4091431,450,90.00196204,45,38,24
2020-04-07T17:00:00,Toscana,Tuscany,5427,6173,3729641,3.729641,1455.099834,1655.119085,1565,419.6114318,61,26,20
2020-04-07T17:00:00,Trentino-Alto Adige,Trentino-Alto Adige/South Tyrol,3191,4287,1072276,1.072276,2975.912918,3998.037819,1170,1091.136983,,,9
2020-04-07T17:00:00,Umbria,Umbria,846,1263,882015,0.882015,959.1673611,1431.948436,185,209.7469998,,,28
2020-04-07T17:00:00,Valle d'Aosta,Aosta,593,835,125666,0.125666,4718.857925,6644.597584,207,1647.223593,,,100
2020-04-07T17:00:00,Veneto,Veneto,9965,11925,4905854,4.905854,2031.246751,2430.769444,2770,564.6315606,24,41,17
