Province_State,total,new,pop.per.mil,total.per.pop,new.per.pop,taste,smell,hearing,sight,covid
Alabama,39,39,4.895077296,7.967187777,7.967187777,,23,31,,83
Alaska,3,3,0.737956555,4.065279967,4.065279967,,,100,,62
Arizona,20,14,7.16690653,2.790604275,1.953422992,10,27,18,18,71
Arkansas,3,3,3.014494885,0.995191604,0.995191604,,,75,53,73
California,700,556,39.5172324,17.71379111,14.06981122,4,5,21,16,70
Colorado,167,153,5.694822693,29.32488139,26.8665081,37,30,16,20,90
Connecticut,68,67,3.571659937,19.03876662,18.75878476,17,,32,32,77
Delaware,16,16,0.967170664,16.54309896,16.54309896,,,,,76
District of Columbia,22,22,0.702281927,31.32645046,31.32645046,,,,,68
Florida,190,175,21.29657228,8.921623513,8.217284815,6,4,14,16,67
Georgia,146,129,10.51967433,13.87875665,12.26273704,14,8,21,21,76
Hawaii,10,7,1.421342383,7.035602483,4.924921738,,,,,64
Idaho,8,8,1.754738016,4.559085133,4.559085133,,,67,83,73
Illinois,161,149,12.74959669,12.62785043,11.68664419,5,,26,13,87
Indiana,30,24,6.687791776,4.485785593,3.588628475,,32,35,,87
Iowa,23,15,3.161115801,7.275911877,4.74515992,,,29,,79
Kansas,18,17,2.912092993,6.181121292,5.837725665,,,32,53,86
Kentucky,26,21,4.474044924,5.811296141,4.693739191,,24,39,,79
Louisiana,196,196,4.659906815,42.06092692,42.06092692,18,50,27,100,90
Maine,26,26,1.339168415,19.41503377,19.41503377,,,42,,80
Maryland,60,52,6.039493294,9.934608267,8.609993831,10,28,19,,77
Massachusetts,217,176,6.901807044,31.44104125,25.50056802,8,30,29,16,85
Michigan,63,63,9.994084808,6.303728777,6.303728777,11,20,21,26,100
Minnesota,59,57,5.601783882,10.5323592,10.17533007,12,,13,,94
Mississippi,21,21,2.986977405,7.030518533,7.030518533,,49,53,65,86
Missouri,12,11,6.119095622,1.96107411,1.797651267,12,,18,,75
Montana,8,8,1.06176505,7.534623595,7.534623595,,,59,,79
Nebraska,23,20,1.925666199,11.94391843,10.38601602,,100,41,67,83
Nevada,55,51,3.03306389,18.13347888,16.81468042,,30,,40,82
New Hampshire,26,22,1.35498021,19.18847213,16.23639949,50,,76,,82
New Jersey,250,235,8.907620709,28.06585599,26.38190463,6,18,35,61,77
New Mexico,23,23,2.097493404,10.96546953,10.96546953,36,,95,,74
New York,1578,1428,9.425788394,167.4130517,151.4992635,8,15,30,15,75
North Carolina,64,57,10.37163188,6.170677937,5.495760037,6,18,33,17,72
North Dakota,3,3,0.759325765,3.950873446,3.950873446,,,,,76
Ohio,67,64,11.69437003,5.729252611,5.472718912,11,7,20,10,98
Oklahoma,17,15,3.948714824,4.305198212,3.798704305,43,,16,,76
Oregon,66,52,4.184880722,15.77105881,12.4256827,16,,36,30,77
Pennsylvania,112,100,12.80845933,8.744221077,7.807340247,11,7,26,30,88
Rhode Island,23,20,1.057251096,21.75452935,18.91698204,,,,,87
South Carolina,47,40,5.086464047,9.240210795,7.864009187,,21,23,,70
South Dakota,11,11,0.883394301,12.45197076,12.45197076,100,,,,81
Tennessee,74,71,6.769245603,10.93179423,10.48861338,,,28,39,75
Texas,110,94,28.6683114,3.836989157,3.278881643,5,6,24,4,76
Utah,39,37,3.162735611,12.33109712,11.69873317,,,32,39,85
Vermont,12,11,0.626215016,19.16274713,17.56585154,,,,,87
Virginia,67,59,8.522545386,7.861501108,6.922814409,21,10,24,26,81
Washington,955,788,7.534383013,126.7522501,104.5871969,13,12,22,47,67
West Virginia,0,0,1.803508772,0,0,52,,,,84
Wisconsin,73,70,5.821344477,12.54005845,12.02471358,12,17,18,22,97
Wyoming,11,11,0.576973288,19.0650074,19.0650074,,,,,86
